### Acordes
DOM ['DO', 'MI', 'SOL']
DOm ['DO', 'RE#', 'SOL']
DOdim ['DO', 'RE#', 'FA#']
DO#M ['DO#', 'FA', 'SOL#']
DO#m ['DO#', 'MI', 'SOL#']
DO#dim ['DO#', 'MI', 'SOL']
REM ['RE', 'FA#', 'LA']
REm ['RE', 'FA', 'LA']
REdim ['RE', 'FA', 'SOL#']
RE#M ['RE#', 'SOL', 'LA#']
RE#m ['RE#', 'FA#', 'LA#']
RE#dim ['RE#', 'FA#', 'LA']
MIM ['MI', 'SOL#', 'SI']
MIm ['MI', 'SOL', 'SI']
MIdim ['MI', 'SOL', 'LA#']
FAM ['FA', 'LA', 'DO']
FAm ['FA', 'SOL#', 'DO']
FAdim ['FA', 'SOL#', 'SI']
FA#M ['FA#', 'LA#', 'DO#']
FA#m ['FA#', 'LA', 'DO#']
FA#dim ['FA#', 'LA', 'DO']
SOLM ['SOL', 'SI', 'RE']
SOLm ['SOL', 'LA#', 'RE']
SOLdim ['SOL', 'LA#', 'DO#']
SOL#M ['SOL#', 'DO', 'RE#']
SOL#m ['SOL#', 'SI', 'RE#']
SOL#dim ['SOL#', 'SI', 'RE']
LAM ['LA', 'DO#', 'MI']
LAm ['LA', 'DO', 'MI']
LAdim ['LA', 'DO', 'RE#']
LA#M ['LA#', 'RE', 'FA']
LA#m ['LA#', 'DO#', 'FA']
LA#dim ['LA#', 'DO#', 'MI']
SIM ['SI', 'RE#', 'FA#']
SIm ['SI', 'RE', 'FA#']
SIdim ['SI', 'RE', 'FA']


### Escalas
DOjonica ['DO', 'RE', 'MI', 'FA', 'SOL', 'LA', 'SI']
DOdorica ['DO', 'RE', 'RE#', 'FA', 'SOL', 'LA', 'LA#']
DOfrigia ['DO', 'DO#', 'RE#', 'FA', 'SOL', 'SOL#', 'LA#']
DOlidia ['DO', 'RE', 'MI', 'FA#', 'SOL', 'LA', 'SI']
DOmixolidia ['DO', 'RE', 'MI', 'FA', 'SOL', 'LA', 'LA#']
DOeolica ['DO', 'RE', 'RE#', 'FA', 'SOL', 'SOL#', 'LA#']
DOlocria ['DO', 'DO#', 'RE#', 'FA', 'FA#', 'SOL#', 'LA#']
DO#jonica ['DO#', 'RE#', 'FA', 'FA#', 'SOL#', 'LA#', 'DO']
DO#dorica ['DO#', 'RE#', 'MI', 'FA#', 'SOL#', 'LA#', 'SI']
DO#frigia ['DO#', 'RE', 'MI', 'FA#', 'SOL#', 'LA', 'SI']
DO#lidia ['DO#', 'RE#', 'FA', 'SOL', 'SOL#', 'LA#', 'DO']
DO#mixolidia ['DO#', 'RE#', 'FA', 'FA#', 'SOL#', 'LA#', 'SI']
DO#eolica ['DO#', 'RE#', 'MI', 'FA#', 'SOL#', 'LA', 'SI']
DO#locria ['DO#', 'RE', 'MI', 'FA#', 'SOL', 'LA', 'SI']
REjonica ['RE', 'MI', 'FA#', 'SOL', 'LA', 'SI', 'DO#']
REdorica ['RE', 'MI', 'FA', 'SOL', 'LA', 'SI', 'DO']
REfrigia ['RE', 'RE#', 'FA', 'SOL', 'LA', 'LA#', 'DO']
RElidia ['RE', 'MI', 'FA#', 'SOL#', 'LA', 'SI', 'DO#']
REmixolidia ['RE', 'MI', 'FA#', 'SOL', 'LA', 'SI', 'DO']
